term,estimate,std.error,statistic,p.value,team
hour20,1.351038083061979,0.0430030825381116,31.417238098329758,1.0928890288978579e-212,"Team FI 1, Travelcare"
hour21,1.0714871733805449,0.04409196554006458,24.301188669099542,5.202147309360336e-129,"Team FI 1, Travelcare"
hour22,0.6469774381912261,0.04664244678663655,13.87100126094994,1.356905555656825e-43,"Team FI 1, Travelcare"
hour23,0.20222905496406643,0.050678075949031245,3.9904643413742744,6.612440153977133e-5,"Team FI 1, Travelcare"
weekdayTue,-0.14595493259203215,0.01412858925735256,-10.330467531716005,5.733373797510632e-25,"Team FI 1, Travelcare"
weekdayWed,-0.11393208537515345,0.014857565322341084,-7.668287697435568,1.803798811853734e-14,"Team FI 1, Travelcare"
weekdayThu,-0.12932870223718027,0.015485655510250718,-8.351516159685408,7.070021997416376e-17,"Team FI 1, Travelcare"
weekdayFri,-0.09865557427449134,0.014957481645713838,-6.595734269395659,4.312574884949176e-11,"Team FI 1, Travelcare"
weekdaySat,-0.21447231750863763,0.015522941781364367,-13.816473741215493,2.8818426705723126e-43,"Team FI 1, Travelcare"
weekdaySun,-0.224968896668721,0.015722682721982364,-14.308556665980742,2.89797426532593e-46,"Team FI 1, Travelcare"
month2,0.007584089526449776,0.019455628619668507,0.3898146739284848,0.6966767782726976,"Team FI 1, Travelcare"
month3,-0.0016124613638542702,0.018196067722014403,-0.08861592452216714,0.9293878329537344,"Team FI 1, Travelcare"
month4,-0.01635412663180194,0.019603594988648033,-0.8342412012323361,0.40415272584205875,"Team FI 1, Travelcare"
month5,-0.020047208000086508,0.019528399044557013,-1.0265668964642598,0.30463397787241686,"Team FI 1, Travelcare"
month6,-0.024293340659340957,0.03240530848903481,-0.7496716369036032,0.4534592620650417,"Team FI 1, Travelcare"
month7,-0.03522457412143554,0.03410338663741654,-1.0328761332690894,0.30167145533523476,"Team FI 1, Travelcare"
month8,-0.12430215554555327,0.024154312618921304,-5.146168202202577,2.6778886895777336e-7,"Team FI 1, Travelcare"
month9,-0.032677351925262076,0.02081542105414895,-1.5698626436744019,0.11645921223197205,"Team FI 1, Travelcare"
month10,-0.024974385646424978,0.019077339226272215,-1.309112625728838,0.1905077471806746,"Team FI 1, Travelcare"
month11,-0.006582763598027937,0.01839980833757992,-0.357762617808537,0.7205238657923378,"Team FI 1, Travelcare"
month12,0.00935218079879073,0.018094679689153233,0.5168469936716729,0.605267358797592,"Team FI 1, Travelcare"
year_c,0.002434023057596599,0.004842120369565362,0.5026771066856154,0.6151955561566285,"Team FI 1, Travelcare"
Juleferie,0.02514627797318002,0.020797172103868843,1.2091200595730092,0.22662769453121004,"Team FI 1, Travelcare"
Vinterferie,-0.03116870692176924,0.03222848706160375,-0.9671166648993242,0.33349469147095967,"Team FI 1, Travelcare"
Påskeferie,0.005523619509986011,0.027036539190619713,0.20430201776351697,0.8381190888711978,"Team FI 1, Travelcare"
Sommerferie,0.03587554559338715,0.028618117720226332,1.2535955699151906,0.21000028955953853,"Team FI 1, Travelcare"
Efterårsferie,0.05461889233183928,0.03189864134515925,1.712263909325653,0.08685994267091636,"Team FI 1, Travelcare"
lag_1,0.011938852234820992,0.001167151292430261,10.229052833383514,1.635051277200281e-24,"Team FI 1, Travelcare"
lag_24,0.0018303416560879707,0.0011513294427401937,1.5897636142542404,0.11190023025179344,"Team FI 1, Travelcare"
lag_48,-4.960174591554349e-4,0.00116747520319502,-0.4248633785094432,0.6709397805994164,"Team FI 1, Travelcare"
lag_168,0.004043986140462767,0.0011237029728798165,3.5988034543495715,3.2027710399560824e-4,"Team FI 1, Travelcare"
roll_mean_24,0.14183723056573974,0.006007019692860277,23.611913697290234,5.560851626461674e-122,"Team FI 1, Travelcare"
roll_mean_72,-0.0022770618914182503,0.01163947591019863,-0.19563268217455265,0.8448992032959102,"Team FI 1, Travelcare"
roll_mean_168,0.030207819299171455,0.011235666574767855,2.6885649461163004,0.0071805502696216895,"Team FI 1, Travelcare"
